split,prompt_tokens,response_tokens,instruction_type
train,11,97,other
train,40,27,other
train,141,13,other
train,11,237,other
train,36,1,other
train,38,2,other
train,33,61,other
train,89,437,write
train,26,168,other
train,306,386,reasoning
train,12,236,reasoning
train,79,27,reasoning
train,39,15,reasoning
train,1,107,other
train,43,358,other
train,18,271,other
train,1,197,other
train,165,346,other
train,172,1,other
train,10,155,write
train,33,337,write
train,43,28,reasoning
train,40,42,other
train,211,12,reasoning
train,1002,103,other
train,94,367,other
train,9,238,write
train,21,162,other
train,59,511,other
train,58,17,reasoning
train,9,533,write
train,34,62,write
train,14,3,write
train,796,1,classify
train,1,1,other
train,148,70,other
train,54,419,other
train,1,11,other
train,88,7,translate
train,156,4,analyze
train,295,416,write
train,199,33,other
train,9,202,write
train,11,16,other
train,9,292,other
train,17,3,other
train,22,6,write
train,15,244,other
train,111,10,other
train,61,320,other
train,14,148,other
train,10,339,other
train,13,33,other
train,325,1,reasoning
train,664,74,reasoning
train,16,21,other
train,58,347,write
train,8,574,other
train,729,61,reasoning
train,563,48,other
train,28,84,other
train,39,428,translate
train,13,265,other
train,37,316,other
train,104,5,translate
train,12,63,other
train,36,26,other
train,10,99,write
train,69,622,write
train,562,2,other
train,81,5,write
train,179,33,translate
train,387,22,analyze
train,348,1,reasoning
train,1025,145,summarize
train,5,214,other
train,333,4,write
train,35,23,other
train,7,93,other
train,89,7,write
train,28,49,other
train,8,173,other
train,6,14,other
train,1261,1,reasoning
train,99,374,other
train,197,349,write
train,12,116,other
train,820,2,write
train,8,6,other
train,108,28,write
train,5,18,other
train,17,394,write
train,54,13,reasoning
train,135,178,analyze
train,1,21,other
train,179,13,translate
train,194,8,summarize
train,16,121,other
train,260,33,reasoning
train,18,94,other
train,21,29,other
train,27,302,write
train,71,354,write
train,206,20,reasoning
train,49,13,analyze
train,68,200,reasoning
train,1,1,other
train,1395,97,write
train,73,577,other
train,51,15,analyze
train,168,34,other
train,6,54,translate
train,563,324,summarize
train,18,14,write
train,92,307,write
train,51,391,other
train,155,6,summarize
train,524,1,reasoning
train,23,35,write
train,59,115,other
train,21,82,write
train,37,460,other
train,59,3,translate
train,16,554,other
train,2569,5,translate
train,14,375,write
train,23,496,write
train,15,260,other
train,34,236,write
train,23,72,reasoning
train,56,129,other
train,4,267,other
train,7,22,other
train,1,2,other
train,34,7,classify
train,8,10,reasoning
train,33,17,write
train,12,191,other
train,12,306,write
train,12,28,other
train,54,21,analyze
train,18,19,other
train,17,23,other
train,85,163,write
train,458,87,summarize
train,14,30,reasoning
train,1085,3,other
train,1,190,other
train,19,199,write
train,9,41,other
train,3,190,other
train,4,620,other
train,11,141,write
train,324,38,other
train,43,19,reasoning
train,134,23,other
train,81,287,analyze
train,3,6,other
train,169,17,reasoning
train,26,209,write
train,16,1,reasoning
train,1,13,other
train,114,44,other
train,17,16,write
train,176,24,other
train,27,61,other
train,1199,1,analyze
train,24,243,reasoning
train,52,363,other
train,2355,20,write
train,40,247,other
train,24,402,other
train,25,119,other
train,275,12,translate
train,2,300,other
train,14,128,other
train,32,1,other
train,300,16,write
train,101,710,other
train,6,279,write
train,384,48,reasoning
train,1,5,other
train,44,1,reasoning
train,9,291,write
train,20,10,write
train,1296,130,write
train,2,7,other
train,346,41,reasoning
train,324,41,translate
train,153,11,summarize
train,364,5,other
train,19,12,write
train,222,15,write
train,77,457,other
train,224,3,reasoning
train,5,27,write
train,39,164,reasoning
train,138,20,other
train,13,31,other
train,61,320,write
train,162,64,reasoning
train,54,155,reasoning
train,411,22,reasoning
train,15,25,other
train,455,227,analyze
train,13,63,other
train,20,31,other
train,21,153,other
train,31,369,translate
train,285,33,reasoning
train,1,1,other
train,58,286,other
train,9,121,other
train,20,41,other
train,9,123,other
train,6,11,other
train,24,317,other
train,88,1,write
train,198,47,translate
train,1,312,other
train,5,256,other
train,15,203,other
train,249,255,write
train,179,1,other
train,1,20,other
train,130,1,other
train,5,115,other
train,253,7,translate
train,41,27,reasoning
train,570,22,other
train,17,437,write
train,446,2,other
train,1,77,other
train,967,51,other
train,34,229,reasoning
train,140,19,translate
train,8,44,other
train,300,18,reasoning
train,229,30,reasoning
train,56,2,write
train,1,2,other
train,28,13,other
train,70,329,analyze
train,13,369,reasoning
train,25,138,write
train,17,53,other
train,16,60,other
train,81,8,write
train,71,15,write
train,470,46,other
train,11,1,other
train,265,42,reasoning
train,59,1,other
train,39,173,other
train,536,115,reasoning
train,17,63,other
train,328,23,reasoning
train,427,1,reasoning
train,15,75,reasoning
train,1,5,other
train,40,16,other
train,21,320,other
train,44,24,other
train,88,1,write
train,243,44,other
train,9,151,other
train,21,45,other
train,69,21,translate
train,8,278,write
train,215,176,reasoning
train,48,17,write
train,108,73,reasoning
train,34,207,other
train,15,206,other
train,13,225,write
train,14,5,translate
train,1194,1,analyze
train,54,44,other
train,1,274,other
train,33,198,other
train,4,103,other
train,26,264,other
train,96,9,other
train,148,21,reasoning
train,16,342,other
train,27,277,reasoning
train,36,44,other
train,155,41,reasoning
train,27,9,other
train,87,60,other
train,117,20,other
train,106,30,other
train,1,1,other
train,16,205,other
train,327,38,reasoning
train,165,56,other
train,1,17,other
train,315,74,other
train,477,18,summarize
train,12,345,other
train,154,20,other
train,110,79,other
train,685,22,write
train,39,88,reasoning
train,23,89,write
train,6,148,other
train,86,1,reasoning
train,29,205,other
train,266,9,translate
train,17,67,other
train,48,200,reasoning
train,11,10,reasoning
train,208,17,reasoning
train,12,173,other
train,431,1,reasoning
train,20,176,other
train,192,16,write
train,464,44,reasoning
train,621,27,reasoning
train,41,154,write
train,33,303,other
train,3,8,other
train,15,174,reasoning
train,304,1,other
train,30,153,other
train,80,8,reasoning
train,56,537,other
train,7,140,other
train,1284,574,write
train,180,100,reasoning
train,34,19,other
train,203,12,reasoning
train,719,65,classify
train,24,364,other
train,99,1,reasoning
train,75,35,classify
train,21,248,other
train,23,201,write
train,370,31,reasoning
train,71,317,write
train,5,208,other
train,27,61,other
train,119,11,other
train,235,173,write
train,168,8,summarize
train,259,320,reasoning
train,3,223,other
train,47,2,other
train,16,234,write
train,1,3,other
train,382,1,reasoning
train,129,1,reasoning
train,14,117,other
train,9,218,analyze
train,35,40,reasoning
train,1152,2,analyze
train,7,41,reasoning
train,2,53,other
train,100,126,write
train,4,119,write
train,8,51,other
train,8,248,other
train,178,20,other
train,362,1,reasoning
train,9,171,other
train,7,92,other
train,168,15,reasoning
train,20,31,other
train,18,327,other
train,215,1,other
train,86,85,reasoning
train,186,1,reasoning
train,286,1,reasoning
train,17,199,other
train,15,13,write
train,70,6,other
train,1,9,other
train,19,48,other
train,26,50,other
train,28,73,other
train,218,50,other
train,34,376,other
train,14,370,other
train,325,61,write
train,103,100,analyze
train,28,302,other
train,43,360,other
train,9,193,other
train,341,16,reasoning
train,81,24,other
train,46,31,reasoning
train,192,20,other
train,11,188,reasoning
train,73,125,other
train,30,14,write
train,251,406,reasoning
train,14,191,write
train,240,39,other
train,158,18,other
train,386,1,write
train,52,12,reasoning
train,50,94,other
train,189,1,reasoning
train,49,28,write
train,26,6,other
train,27,24,other
train,10,74,other
train,48,247,analyze
train,247,186,reasoning
train,11,161,other
train,84,2,other
train,15,106,write
train,14,88,reasoning
train,95,1,reasoning
train,258,223,write
train,95,1,other
train,116,10,other
train,8,128,other
train,7,1,other
train,311,33,write
train,48,10,reasoning
train,12,351,other
train,3,527,other
train,1370,21,summarize
train,106,83,other
train,275,10,summarize
train,8,179,write
train,6,87,other
train,26,85,other
train,59,207,reasoning
train,18,27,write
train,20,243,other
train,1172,428,reasoning
train,1289,3,write
train,7,15,other
train,18,25,write
train,66,316,write
train,973,6,other
train,6,1,other
train,1,14,other
train,20,7,write
train,41,38,write
train,3,221,other
train,23,22,other
train,17,3,other
train,93,117,other
train,18,115,other
train,22,9,write
train,208,37,other
train,27,17,write
train,450,130,reasoning
train,32,20,other
train,48,398,other
train,1228,54,summarize
train,47,31,other
train,103,2,other
train,146,9,summarize
train,49,290,reasoning
train,136,372,analyze
train,335,46,other
train,21,278,write
train,10,179,other
train,418,27,reasoning
train,1,94,other
train,11,5,other
train,106,373,write
train,23,39,other
train,7,79,other
train,2,16,other
train,43,41,write
train,69,1,other
train,6,171,other
train,22,93,write
train,105,72,other
train,3,359,other
train,10,191,write
train,35,11,analyze
train,30,44,other
train,48,59,summarize
train,1491,19,summarize
train,69,3,other
train,11,270,analyze
train,1177,2,reasoning
train,60,500,write
train,147,216,reasoning
train,12,51,write
train,34,143,write
train,7,152,other
train,50,611,other
train,18,120,analyze
train,241,29,other
train,75,3,reasoning
train,3,289,other
train,8,128,analyze
train,10,31,other
train,1090,7,reasoning
train,328,37,other
train,2,1,other
train,169,20,write
train,120,118,other
train,239,17,reasoning
train,37,39,summarize
train,456,61,reasoning
train,24,276,other
train,36,14,write
train,7,68,reasoning
train,1,11,other
train,130,14,other
train,157,22,translate
train,8,115,other
train,1,53,other
train,190,368,write
train,8,2,other
train,18,37,other
train,7,200,other
train,65,1,other
train,314,1,reasoning
train,21,15,write
train,15,17,reasoning
train,919,1,reasoning
train,73,38,other
train,228,30,reasoning
train,72,359,other
train,468,43,reasoning
train,45,1,reasoning
train,47,164,other
train,136,2,write
train,202,13,other
train,34,1,other
train,31,275,other
train,39,88,write
train,97,1,write
train,65,337,other
train,17,38,write
train,11,26,write
train,1,4,other
train,363,6,reasoning
train,8,112,other
train,18,126,other
train,1,44,other
train,27,21,other
train,93,28,translate
train,10,80,other
train,9,158,other
train,15,56,other
train,322,47,other
train,121,425,write
train,1033,1,reasoning
train,20,238,write
train,209,319,reasoning
train,15,199,other
train,8,136,other
train,116,310,other
train,29,46,write
train,32,151,other
train,4,121,other
train,9,14,other
train,3,242,other
train,338,27,reasoning
train,60,12,write
train,17,11,other
train,6,189,reasoning
train,43,21,other
train,547,103,reasoning
train,20,100,reasoning
train,119,428,other
train,110,519,analyze
train,38,203,reasoning
train,479,40,reasoning
train,26,2,write
train,199,46,reasoning
train,16,266,write
train,3,592,other
train,21,137,reasoning
train,218,75,write
train,46,1,reasoning
train,9,268,other
train,14,217,other
train,21,55,other
train,40,320,other
train,222,63,write
train,2,20,other
train,210,29,other
train,18,50,other
train,268,1,classify
train,35,107,other
train,94,117,analyze
train,41,9,analyze
train,16,6,other
train,10,158,other
train,259,35,reasoning
train,45,19,other
train,173,22,reasoning
train,10,1,other
train,260,31,reasoning
train,10,455,other
train,73,183,reasoning
train,110,4,reasoning
train,264,306,write
train,11,140,reasoning
train,7,31,other
train,1,144,other
train,61,228,other
train,626,22,write
train,76,1,other
train,115,119,other
train,86,49,reasoning
train,9,145,other
train,374,15,reasoning
train,90,154,reasoning
train,1,73,other
train,1127,434,reasoning
train,29,240,other
train,16,54,other
train,162,1,other
train,57,578,write
train,187,22,reasoning
train,356,21,reasoning
train,186,13,other
train,1350,82,other
train,40,85,other
train,1,23,other
train,8,351,other
train,1,1,other
train,65,43,other
train,188,12,other
train,25,31,reasoning
train,1,245,other
train,44,346,other
train,17,287,analyze
train,36,72,translate
train,36,15,reasoning
train,3,321,other
train,55,52,other
train,32,101,other
train,25,106,write
train,32,24,reasoning
train,103,50,write
train,51,121,other
train,1,434,other
train,3,105,other
train,194,5,analyze
train,15,15,reasoning
train,14,338,write
train,1,3,other
train,32,21,other
train,4,112,other
train,330,41,other
train,40,289,write
train,7,10,write
train,10,510,other
train,215,24,reasoning
train,166,23,other
train,5,71,other
train,2,1,other
train,441,4,write
train,28,482,write
train,3,9,other
train,18,8,other
train,11,39,other
train,19,30,other
train,31,50,other
train,16,194,other
train,254,34,other
train,6,180,other
train,42,195,analyze
train,2426,92,translate
train,41,282,write
train,55,1,other
train,1,16,other
train,19,17,other
train,31,27,other
train,346,18,reasoning
train,5,150,other
train,204,3,reasoning
train,1,71,other
train,250,8,summarize
train,9,214,write
train,73,323,reasoning
train,40,26,other
train,9,243,other
train,24,4,other
train,202,17,reasoning
train,19,10,other
train,9,112,other
train,5,45,reasoning
train,169,23,other
train,1,1,other
train,518,58,reasoning
train,17,21,other
train,447,1,reasoning
train,90,354,write
train,28,23,other
train,13,103,other
train,73,7,translate
train,258,21,other
train,205,37,other
train,57,269,other
train,61,75,other
train,134,18,translate
train,8,115,other
train,156,5,reasoning
train,352,148,analyze
train,14,261,other
train,16,169,other
train,20,9,write
train,6,75,other
train,377,461,reasoning
train,8,9,reasoning
train,3,11,other
train,4,28,other
train,20,102,other
train,66,13,other
train,12,10,other
train,93,72,reasoning
train,170,4,translate
train,380,71,classify
train,121,2,other
train,15,397,other
train,67,59,reasoning
train,399,6,summarize
train,254,1,reasoning
train,104,1,reasoning
train,75,15,translate
train,132,49,other
train,61,27,other
train,164,1,reasoning
train,367,38,other
train,49,213,other
train,47,14,other
train,28,564,write
train,46,16,other
train,10,163,other
train,49,23,other
train,11,376,other
train,269,70,reasoning
train,42,13,other
train,43,41,write
train,95,75,other
train,1007,10,reasoning
train,47,322,other
train,319,3,other
train,75,2,other
train,7,151,other
train,78,7,translate
train,26,248,write
train,136,27,write
train,32,125,translate
train,56,117,write
train,34,298,other
train,1272,337,reasoning
train,4,6,other
train,2115,10,translate
train,3,199,other
train,11,13,other
train,304,2,reasoning
train,17,90,reasoning
train,20,37,other
train,50,75,other
train,148,26,other
train,188,516,write
train,323,19,write
train,2,1,other
train,425,50,reasoning
train,13,16,write
train,2,212,other
train,77,258,write
train,13,181,reasoning
train,11,43,other
train,179,10,other
train,369,35,reasoning
train,5,225,other
train,614,42,reasoning
train,9,130,summarize
train,9,83,write
train,187,90,write
train,23,138,write
train,52,38,reasoning
train,35,22,other
train,783,22,summarize
train,18,89,other
train,1,54,other
train,46,219,other
train,250,13,other
train,117,15,analyze
train,69,134,other
train,9,133,write
train,24,207,translate
train,80,215,other
train,39,10,translate
train,15,207,other
train,19,12,write
train,526,151,analyze
train,14,28,write
train,6,268,analyze
train,99,248,reasoning
train,34,648,write
train,133,260,other
train,272,1,write
train,292,13,other
train,1048,10,write
train,238,98,other
train,202,1,classify
train,81,1,other
train,53,111,other
train,370,2,other
train,6,197,other
train,358,27,reasoning
train,333,1,other
train,5,62,other
train,246,1,other
train,1,1,other
train,62,434,other
train,5,215,analyze
train,6,267,other
train,33,330,other
train,1122,2,reasoning
train,798,1,reasoning
train,70,299,write
train,5,34,other
train,6,59,analyze
train,265,21,reasoning
train,36,22,other
train,12,5,other
train,144,2,other
train,127,1,reasoning
train,28,94,other
train,13,8,classify
train,253,16,other
train,11,77,write
train,43,278,other
train,86,15,reasoning
train,170,20,reasoning
train,14,146,reasoning
train,82,5,translate
train,28,17,write
train,260,244,other
train,2,359,other
train,43,4,other
train,21,60,other
train,247,4,write
train,782,372,summarize
train,370,27,write
train,10,180,write
train,61,24,analyze
train,181,2,other
train,109,422,write
train,16,54,other
train,28,274,write
train,19,6,translate
train,8,289,other
train,22,81,analyze
train,94,308,other
train,555,139,reasoning
train,21,281,other
train,6,325,other
train,54,345,reasoning
train,38,348,other
train,36,65,other
train,13,309,other
train,12,236,other
train,16,87,other
train,10,110,other
train,21,178,other
train,309,16,other
train,33,17,other
train,17,255,other
train,208,205,other
train,15,83,other
train,3,319,other
train,21,46,reasoning
train,253,25,translate
train,407,1,reasoning
train,101,1,other
train,27,231,summarize
train,8,57,write
train,39,258,analyze
train,17,57,write
train,13,3,reasoning
train,368,17,summarize
train,1,12,other
train,13,95,other
train,1,23,other
train,1,14,other
train,20,173,other
train,35,38,write
train,21,82,other
train,195,15,other
train,8,9,write
train,10,228,other
train,131,110,reasoning
train,651,2,write
train,7,10,reasoning
train,27,290,other
train,24,241,other
train,9,268,other
train,45,434,other
train,9,173,reasoning
train,6,448,write
train,521,1,other
train,5,16,other
train,35,23,other
train,46,226,other
train,7,109,other
train,103,296,write
train,1,14,other
train,526,20,other
train,20,13,write
train,271,4,translate
train,6,123,other
train,664,10,write
train,657,60,reasoning
train,224,1,translate
train,280,54,translate
train,690,38,reasoning
train,365,44,other
train,41,197,write
train,8,192,other
train,86,286,other
train,85,598,write
train,18,46,reasoning
train,42,5,translate
train,138,31,other
train,76,1,reasoning
train,111,265,write
train,334,41,analyze
train,183,52,reasoning
train,7,295,other
train,28,182,other
train,69,178,other
train,19,25,other
train,13,9,write
train,7,39,other
train,42,331,reasoning
train,41,325,other
train,130,1,reasoning
train,36,325,other
train,161,199,summarize
train,477,1,reasoning
train,2642,1,write
train,91,1239,write
train,78,101,reasoning
train,48,57,other
train,55,23,other
train,167,12,classify
train,8,124,other
train,25,424,write
train,65,207,reasoning
train,50,216,other
train,25,90,other
train,19,14,write
train,16,141,other
train,381,20,reasoning
train,23,195,write
train,39,20,other
train,27,22,other
train,84,3,write
train,146,193,write
train,192,19,other
train,27,17,other
train,84,62,translate
train,270,49,other
train,54,92,other
train,232,103,other
train,377,324,other
train,107,264,other
train,22,137,other
train,3,190,other
train,1,1,other
train,7,169,other
train,61,79,reasoning
train,19,24,write
train,46,16,other
train,10,281,other
train,12,252,other
train,6,203,other
train,2701,50,summarize
train,1,3,other
train,128,7,summarize
train,49,18,other
train,599,20,reasoning
train,10,149,reasoning
train,36,222,other
train,2,101,other
train,12,23,other
train,200,50,translate
train,205,230,reasoning
train,7,265,other
train,291,1,other
train,179,2,other
train,430,41,other
train,29,286,reasoning
train,382,169,summarize
train,246,263,write
train,15,66,reasoning
train,11,129,write
train,94,1,write
train,242,20,other
train,30,172,other
train,39,150,reasoning
train,84,1,classify
train,16,145,other
train,2594,10,write
train,7,48,other
train,341,76,reasoning
train,69,21,write
train,40,23,other
train,66,156,write
train,16,8,other
train,97,35,write
train,187,1,reasoning
train,16,223,write
train,322,34,other
train,23,229,other
train,25,241,other
train,7,894,other
train,7,1146,other
train,20,191,other
train,2277,1,write
train,24,1,other
train,58,293,other
train,805,31,reasoning
train,31,330,other
train,3,325,other
train,13,87,other
train,19,14,other
train,128,178,analyze
train,70,94,write
train,4,164,other
train,1171,1,reasoning
train,214,14,write
train,250,51,reasoning
train,1039,2,reasoning
train,13,121,other
train,186,15,other
train,51,88,reasoning
train,3,52,other
train,421,179,summarize
train,325,1,other
train,14,11,other
train,77,1,other
train,189,1,other
train,440,6,write
train,10,51,other
train,34,31,reasoning
train,272,19,reasoning
train,97,404,write
train,2,68,other
train,9,5,other
train,619,16,write
train,168,60,reasoning
train,46,177,other
train,110,8,write
train,37,270,reasoning
train,75,480,write
train,99,38,other
train,1,12,other
train,300,38,reasoning
train,15,6,other
train,104,13,reasoning
train,29,309,write
train,15,83,other
train,151,37,reasoning
train,43,195,other
train,571,2,write
train,247,1,translate
train,727,40,reasoning
train,110,406,other
train,6,34,other
train,278,33,reasoning
train,171,30,other
train,25,42,other
train,966,236,other
train,14,258,other
train,38,119,other
train,3,380,other
train,59,1,other
train,19,34,other
train,84,445,other
train,15,211,classify
train,87,125,reasoning
train,61,492,other
train,100,157,write
train,12,11,other
train,90,419,other
train,33,229,other
train,263,92,reasoning
train,19,270,other
train,406,47,classify
train,11,99,reasoning
train,10,173,other
train,52,274,other
train,62,286,reasoning
train,11,207,other
train,39,28,other
train,79,282,other
train,1,52,other
train,557,1,reasoning
train,15,51,other
train,374,1,other
train,30,116,reasoning
train,11,244,other
train,5,324,other
train,79,531,other
train,41,31,reasoning
train,178,11,translate
train,268,2,other
train,3,195,other
train,17,10,other
train,21,347,other
train,6,342,write
train,4,66,other
train,176,207,reasoning
train,35,166,write
train,1,14,other
train,550,200,analyze
train,12,29,write
train,2,1,other
train,80,2,reasoning
train,8,130,other
train,19,31,write
train,22,218,other
train,26,586,write
train,58,51,other
train,156,40,reasoning
train,18,261,write
train,51,137,other
train,5,270,other
train,50,29,reasoning
train,93,30,translate
train,332,19,reasoning
train,65,9,translate
train,32,41,write
train,18,156,other
train,323,2,reasoning
train,237,53,translate
train,156,235,other
train,19,35,reasoning
train,6,108,write
train,283,11,reasoning
train,233,27,other
train,183,1,reasoning
train,232,27,other
train,23,156,other
train,557,232,reasoning
train,230,21,reasoning
train,14,6,other
train,6,184,analyze
train,111,4,other
train,62,6,translate
train,929,18,other
train,912,5,reasoning
train,353,16,reasoning
train,22,36,other
train,277,17,summarize
train,476,43,write
train,22,190,other
train,2493,18,write
train,2725,30,write
train,11,214,classify
train,22,8,write
train,11,53,other
train,12,370,other
train,9,386,write
train,678,18,reasoning
train,14,19,write
train,88,16,other
train,6,302,other
train,13,234,write
train,65,104,other
train,543,255,summarize
train,22,11,write
train,56,25,reasoning
train,8,331,other
train,9,238,other
train,40,226,other
train,333,60,reasoning
train,45,288,other
train,45,14,reasoning
train,1,7,other
train,1,570,other
train,246,33,translate
train,27,30,other
train,62,330,other
train,82,11,translate
train,108,1,other
train,57,13,other
train,53,40,analyze
train,36,337,other
train,12,389,write
train,218,15,other
train,1,111,other
train,21,80,other
train,1,230,other
train,75,335,write
train,22,68,write
train,9,63,other
train,1,12,other
train,47,23,other
train,17,78,other
train,1,41,other
train,24,9,analyze
train,144,19,other
train,1,1,other
train,33,97,other
train,196,18,write
train,17,24,reasoning
train,90,182,write
train,269,60,reasoning
train,401,61,reasoning
train,12,314,other
train,2706,1,translate
train,157,43,other
train,16,3,other
train,65,44,other
train,53,307,reasoning
train,11,66,other
train,10,484,other
train,1,1,other
train,6,14,write
train,1,11,other
train,53,35,other
train,93,257,analyze
train,13,156,other
train,127,29,other
train,53,272,other
train,18,15,other
train,430,104,reasoning
train,110,71,reasoning
train,11,339,write
train,16,62,other
train,135,1,classify
train,4,15,other
train,346,313,reasoning
train,200,228,analyze
train,5,120,other
train,243,522,reasoning
train,223,10,other
train,194,101,write
train,11,129,write
train,16,192,write
train,28,43,other
train,770,45,other
train,32,326,other
train,28,155,other
train,74,314,other
train,53,15,analyze
train,235,14,reasoning
train,33,253,other
train,5,294,other
train,170,167,other
train,10,291,other
train,22,168,translate
train,15,192,write
train,1,2,other
train,21,382,write
train,655,240,write
train,71,155,other
train,10,185,other
train,1,3,other
train,8,1,other
train,15,254,write
train,72,424,analyze
train,41,21,reasoning
train,1,3,other
train,2,304,other
train,19,555,write
train,12,5,other
train,8,10,other
train,98,311,other
train,30,12,other
train,26,79,other
train,5,18,other
train,2,21,other
train,5,21,other
train,39,532,other
train,97,211,other
train,7,100,other
train,5,419,write
train,1280,2,other
train,6,247,other
train,11,335,other
train,7,12,write
train,54,285,other
train,155,25,other
train,19,64,other
train,5,152,other
train,41,21,other
train,5,139,other
train,59,441,other
train,784,9,other
train,34,293,write
train,15,143,other
train,1,12,other
train,25,46,other
train,371,78,summarize
train,7,185,other
train,10,69,other
train,199,23,other
train,8,133,translate
train,14,232,other
train,14,17,other
train,1218,598,write
train,10,76,other
train,354,46,write
train,15,139,other
train,1,1,other
train,107,24,write
train,33,219,other
train,97,31,write
train,4,15,other
train,287,50,reasoning
train,17,66,other
train,9,156,reasoning
train,114,1,translate
train,1007,4,reasoning
train,185,16,translate
train,8,233,write
train,76,198,other
train,74,274,write
train,50,193,analyze
train,67,24,other
train,379,26,other
train,2,241,other
train,46,16,other
train,6,259,analyze
train,123,15,translate
train,39,35,reasoning
train,141,31,reasoning
train,13,49,other
train,10,194,write
train,41,63,other
train,314,41,reasoning
train,322,21,reasoning
train,64,4,other
train,4,220,other
train,43,12,analyze
train,1,2,other
train,6,194,other
train,9,7,other
train,131,216,analyze
train,26,49,other
train,198,12,other
train,55,17,other
train,3,226,other
train,16,86,write
train,107,151,other
train,893,7,other
train,99,15,translate
train,6,97,other
train,57,47,other
train,2621,7,summarize
train,201,35,reasoning
train,1,6,other
train,23,175,analyze
train,11,108,other
train,12,36,other
train,4,252,other
train,28,275,other
train,47,23,reasoning
train,391,2,reasoning
train,636,11,reasoning
train,17,162,reasoning
train,1,10,other
train,23,34,other
train,180,18,other
train,13,40,write
train,34,232,reasoning
train,41,35,other
train,169,41,other
train,26,252,other
train,85,133,other
train,13,33,other
train,246,24,other
train,86,14,translate
train,1,32,other
train,196,26,reasoning
train,100,299,other
train,26,18,other
train,223,56,reasoning
train,37,22,reasoning
train,1169,1,analyze
train,15,93,other
train,5,329,write
train,126,490,write
train,40,203,other
train,29,41,other
train,15,200,reasoning
train,1155,9,summarize
train,103,23,write
train,294,14,reasoning
train,16,16,write
train,750,756,write
train,8,313,other
train,8,202,other
train,139,22,translate
train,7,43,other
train,50,28,reasoning
train,33,33,reasoning
train,117,390,summarize
train,37,204,other
train,382,1,reasoning
train,10,56,write
train,2687,51,analyze
train,269,18,other
train,9,289,other
train,59,187,other
train,34,18,reasoning
train,298,201,write
train,63,173,write
train,51,105,write
train,49,6,write
train,276,26,reasoning
train,8,218,other
train,2,1,other
train,5,269,other
train,24,352,other
train,29,365,other
train,38,16,reasoning
train,527,25,reasoning
train,64,50,other
train,99,43,translate
train,85,13,summarize
train,20,140,write
train,364,18,reasoning
train,132,45,other
train,7,173,other
train,413,37,other
train,16,20,write
train,6,26,other
train,1,1,other
train,7,334,other
train,10,183,other
train,7,293,other
train,20,257,analyze
train,4,141,other
train,4,10,other
train,6,1452,other
train,16,1,classify
train,19,231,other
train,168,21,reasoning
train,26,171,write
train,18,474,other
train,226,18,translate
train,13,219,analyze
train,20,117,write
train,169,10,other
train,25,285,write
train,3,163,other
train,40,222,other
train,18,42,other
train,10,100,other
train,53,39,other
train,8,228,analyze
train,16,220,other
train,1983,14,summarize
train,358,63,reasoning
train,8,89,write
train,18,1,other
train,1,11,other
train,22,34,other
train,301,2,other
train,397,140,reasoning
train,14,283,other
train,10,545,other
train,30,185,analyze
train,14,244,other
train,17,4,other
train,53,15,other
train,122,33,other
train,114,224,reasoning
train,59,63,other
train,48,44,reasoning
train,3,28,other
train,10,213,other
train,18,258,other
train,56,281,reasoning
train,172,44,other
train,208,1,classify
train,1805,1,write
train,432,25,reasoning
train,55,1,write
train,354,35,other
train,20,6,other
train,286,18,other
train,36,80,reasoning
train,48,16,other
train,196,115,reasoning
train,23,20,other
train,260,20,write
train,23,170,reasoning
train,126,292,write
train,1179,1,classify
train,1,1,other
train,74,164,write
train,203,25,other
train,242,28,write
train,913,1,other
train,58,448,write
train,8,250,other
train,24,18,other
train,32,43,write
train,10,38,other
train,10,8,write
train,10,25,other
train,20,268,other
train,12,191,other
train,173,11,write
train,9,454,analyze
train,45,112,other
train,296,4,write
train,11,8,reasoning
train,13,32,other
train,6,5,other
train,322,18,reasoning
train,7,334,other
train,5,26,other
train,200,431,write
train,1,6,other
train,3,400,other
train,1290,308,write
train,9,89,other
train,169,108,reasoning
train,18,217,other
train,22,48,other
train,80,649,other
train,45,1,other
train,319,147,reasoning
train,59,49,reasoning
train,43,55,other
train,8,188,other
train,415,53,write
train,101,478,write
train,368,2,other
train,92,108,other
train,98,105,other
train,1050,2,reasoning
train,19,8,other
train,10,198,analyze
train,164,4,reasoning
train,62,13,reasoning
train,26,8,other
train,9,278,other
train,729,12,summarize
train,18,4,write
train,16,23,other
train,42,145,other
train,12,73,other
train,272,12,reasoning
train,7,271,other
train,71,1,other
train,40,29,other
train,21,677,write
train,88,194,other
train,55,161,reasoning
train,347,44,reasoning
train,10,49,other
train,68,420,summarize
train,1,141,other
train,18,70,reasoning
train,175,59,reasoning
train,22,337,other
train,37,124,reasoning
train,39,248,other
train,624,1,other
train,19,226,other
train,6,232,other
train,51,157,other
train,178,532,classify
train,134,12,other
train,185,20,other
train,2498,83,write
train,8,31,other
train,47,17,summarize
train,9,53,other
train,472,31,reasoning
train,15,60,reasoning
train,4,106,other
train,8,202,write
train,22,581,reasoning
train,166,7,reasoning
train,69,18,translate
train,1,88,other
train,34,19,other
train,32,30,other
train,12,134,other
train,33,17,reasoning
train,11,294,other
train,1,35,other
train,28,61,write
train,234,26,write
train,59,54,reasoning
train,8,25,other
train,1,1,other
train,189,91,reasoning
